Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
1364,Text,1998-06-01,"Tom Swift and His Electric Locomotive; Or, Two Miles a Minute on the Rails",en,"Appleton, Victor","Adventure and adventurers -- Juvenile fiction; Swift, Tom (Fictitious character) -- Juvenile fiction; Electric railroads -- Juvenile fiction",PZ,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Fiction
1365,Text,1998-06-01,The Complete Poetical Works of Henry Wadsworth Longfellow,en,"Longfellow, Henry Wadsworth, 1807-1882",American poetry,PS,Bibliomania; Poetry; Browsing: History - American; Browsing: Literature; Browsing: Poetry
1366,Text,2006-02-15,The Cloister and the Hearth,en,"Reade, Charles, 1814-1884",Historical fiction; Middle Ages -- Fiction; Love stories; Netherlands -- Fiction,PR,Historical Fiction; Browsing: Culture/Civilization/Society; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
1367,Text,1998-06-01,Findelkind,en,"Ouida, 1839-1908",Orphans -- Juvenile fiction; Shepherds -- Juvenile fiction; Children's stories; Domestic fiction; Grandfathers -- Juvenile fiction,PR; PZ,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
1368,Text,1998-06-01,"When the World Shook
Being an Account of the Great Adventure of Bastin, Bickley and Arbuthnot",en,"Haggard, H. Rider (Henry Rider), 1856-1925",Science fiction; Adventure stories,PR,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
1369,Text,1998-07-01,Paz (La Fausse Maitresse),en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1370,Text,1998-07-01,Autobiography of Andrew Dickson White — Volume 2,en,"White, Andrew Dickson, 1832-1918","Cornell University; Diplomats -- United States -- Biography; White, Andrew Dickson, 1832-1918",E660,Browsing: Biographies; Browsing: History - American; Browsing: History - Schools & Universities
1371,Text,2006-02-19,"Astoria; Or, Anecdotes of an Enterprise Beyond the Rocky Mountains",en,"Irving, Washington, 1783-1859",Astoria (Or.); Overland journeys to the Pacific; Fur trade -- Oregon; Northwestern States -- Description and travel; Pacific Fur Company; Voyages to the Pacific coast,F850.5; PS,Western; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography
1372,Text,2006-02-19,"The Adventures of Captain Bonneville, U. S. A., in the Rocky Mountains and the Far West",en,"Irving, Washington, 1783-1859; Bonneville, Benjamin Louis Eulalie de, 1796-1878","West (U.S.) -- Description and travel; Northwestern States -- Description and travel; West (U.S.) -- History -- To 1848; Bonneville, Benjamin Louis Eulalie de, 1796-1878; Fur trade -- West (U.S.) -- History -- 19th century; Explorers -- West (U.S.) -- Biography",F590.3,Browsing: Biographies; Browsing: History - American; Browsing: Travel & Geography
1373,Text,2005-10-07,Study of a Woman,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1374,Text,2005-10-28,Vendetta,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",Historical fiction; French fiction -- Translations into English,PQ,Browsing: History - General; Browsing: Literature; Browsing: Fiction
1375,Text,1998-07-01,New Chronicles of Rebecca,en,"Wiggin, Kate Douglas Smith, 1856-1923",Domestic fiction; Girls -- Juvenile fiction; Aunts -- Juvenile fiction,PZ; PS,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
1376,Text,1998-07-01,"The Little White Bird; Or, Adventures in Kensington Gardens",en,"Barrie, J. M. (James Matthew), 1860-1937","Adventure stories; Peter Pan (Fictitious character) -- Fiction; Kensington Gardens (London, England) -- Fiction; Kensington (London, England) -- Fiction; Fairies -- Fiction",PR; PZ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1377,Text,1998-07-01,The Talisman,en,"Scott, Walter, 1771-1832","Historical fiction; Knights and knighthood -- Fiction; Crusades -- Third, 1189-1192 -- Fiction; Jerusalem -- History -- Latin Kingdom, 1099-1244 -- Fiction; Richard I, King of England, 1157-1199 -- Fiction",PR,Historical Fiction; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
1378,Text,1998-07-01,The Land of Footprints,en,"White, Stewart Edward, 1873-1946","Africa, East -- Description and travel; Hunting -- Africa, East",SK,Browsing: History - General; Browsing: Travel & Geography
1379,Text,1998-07-01,"A Straight Deal; Or, The Ancient Grudge",en,"Wister, Owen, 1860-1938",United States -- Relations -- Great Britain; Great Britain -- Relations -- United States,E151,Browsing: History - American; Browsing: History - British; Browsing: Politics
1380,Text,2005-08-10,The Two Brothers,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1381,Text,1998-07-01,Poems — Volume 1,en,"Meredith, George, 1828-1909",English poetry; Pastoral poetry,PR,Browsing: Literature; Browsing: Poetry
1382,Text,1998-07-01,Poems — Volume 2,en,"Meredith, George, 1828-1909",English poetry; Didactic poetry,PR,Browsing: Literature; Browsing: Poetry
1383,Text,1998-07-01,Poems — Volume 3,en,"Meredith, George, 1828-1909",English poetry; Didactic poetry,PR,Browsing: Literature; Browsing: Poetry
1384,Text,1998-07-01,"The Ayrshire Legatees; Or, The Pringle Family",en,"Galt, John, 1779-1839",Scotland -- Social life and customs -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1385,Text,1998-07-01,Lin McLean,en,"Wister, Owen, 1860-1938",Western stories; Wyoming -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1386,Text,1998-07-01,Lady Baltimore,en,"Wister, Owen, 1860-1938",Historical fiction; Charleston (S.C.) -- Fiction,PS,"Bestsellers, American, 1895-1923; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction"
1387,Text,1998-07-01,Mother,en,"Wister, Owen, 1860-1938",Storytelling -- Fiction; Investments -- Fiction,PS,Browsing: Literature; Browsing: Fiction
1388,Text,1998-07-01,"Padre Ignacio; Or, The Song of Temptation",en,"Wister, Owen, 1860-1938",Priests -- Fiction; Missions -- California -- Fiction,PS,Browsing: History - American; Browsing: Literature; Browsing: Fiction
1389,Text,2004-10-19,Gobseck,en,"Balzac, Honoré de, 1799-1850; Marriage, Ellen, 1865-1946 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1390,Text,1998-07-01,"The Jimmyjohn Boss, and Other Stories",en,"Wister, Owen, 1860-1938",Western stories; Frontier and pioneer life -- West (U.S.) -- Fiction; West (U.S.) -- Social life and customs -- Fiction,PS,Western; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Fiction
1391,Text,1998-07-01,Penelope's Irish Experiences,en,"Wiggin, Kate Douglas Smith, 1856-1923",Ireland -- Fiction,PZ; PS,Children's Literature; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1392,Text,1998-07-01,The Seven Poor Travellers,en,"Dickens, Charles, 1812-1870","Fiction; Christmas stories, English",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1393,Text,1998-07-01,Amours De Voyage,en,"Clough, Arthur Hugh, 1819-1861",Voyages and travels -- Poetry,PR,Browsing: Literature; Browsing: Poetry; Browsing: Travel & Geography
1394,Text,1998-07-01,The Holly-Tree,en,"Dickens, Charles, 1812-1870",Christmas stories; English fiction,PR,Browsing: Literature; Browsing: Fiction
1395,Text,1998-07-01,Letters on Literature,en,"Lang, Andrew, 1844-1912",Literature -- History and criticism,PN,Browsing: Literature
1396,Text,2006-02-15,"Rienzi, the Last of the Roman Tribunes",en,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873","Rienzo, Cola di, -1354 -- Fiction; Biographical fiction",PR,Historical Fiction; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
1397,Text,2006-05-03,"The Ruins; Or, Meditation on the Revolutions of Empires and the Law of Nature",en,"Volney, C.-F. (Constantin-François), 1757-1820",Revolutions; Ethics; History -- Philosophy; Religions,D,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
1398,Text,1998-07-01,"The Doré Lectures
Being Sunday addresses at the Doré Gallery, London, given in connection with the Higher Thought Centre",en,"Troward, T. (Thomas), 1847-1916",New Thought,BF,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
1399,Text,1998-07-01,Anna Karenina,en,"Tolstoy, Leo, graf, 1828-1910; Garnett, Constance, 1861-1946 [Translator]",Adultery -- Fiction; Didactic fiction; Love stories; Married women -- Fiction; Russia -- Fiction,PG,Best Books Ever Listings; Harvard Classics; Movie Books; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
1400,Text,1998-07-01,Great Expectations,en,"Dickens, Charles, 1812-1870",Orphans -- Fiction; England -- Fiction; Revenge -- Fiction; Bildungsromans; Young men -- Fiction; Man-woman relationships -- Fiction; Ex-convicts -- Fiction; Benefactors -- Fiction,PR,Best Books Ever Listings; Browsing: Literature; Browsing: Fiction
1401,Text,1998-07-01,Tarzan the Untamed,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PS,Adventure; Movie Books; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
1402,Text,1998-07-01,Where the Blue Begins,en,"Morley, Christopher, 1890-1957",Fantasy fiction; Dogs -- Fiction; Didactic fiction,PS,Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
1403,Text,2005-10-07,A Start in Life,en,"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
1404,Text,1998-07-01,The Federalist Papers,en,"Hamilton, Alexander, 1757-1804; Jay, John, 1745-1829; Madison, James, 1751-1836",Constitutional history -- United States -- Sources; Constitutional law -- United States,JK; KF,United States; United States Law; Browsing: History - American; Browsing: Law & Criminology; Browsing: Politics
1405,Text,2004-07-01,The Collection of Antiquities,en,"Balzac, Honoré de, 1799-1850; Marriage, Ellen, 1865-1946 [Translator]",French fiction -- Translations into English,PQ,Browsing: Literature; Browsing: Fiction
